bairro,renda_media_2022,renda_mediana_2022,gap_media_mediana_2022,media_mediana_ratio_2022,crescimento_nominal_2000_2022_%,crescimento_real_2000_2022_%
Unileste,17049.62,12500.0,4549.619999999999,1.3639696,1161.3409169705826,224.03925844434744
Morato,14384.62,11000.0,3384.620000000001,1.3076927272727275,1475.5588841226704,304.7620477362353
Monte Alegre,12007.46,4500.0,7507.459999999999,2.668324444444444,1249.6962260085988,246.73779175528082
Santa Rosa,8287.93,3500.0,4787.93,2.36798,1016.8412417199035,186.9172028734101
Cidade Jardim,8248.31,5200.0,3048.3099999999995,1.5862134615384615,237.74817156464286,-13.23228670199904
